0	0.0000000	-0.0008454	0.0031957	-1.5789222	-1.4993713	-0.0089808	-1.8897348	-0.1319896	0.3149900	0.0919320	-1.8096194	1.2424822	-0.2363628	-0.8246289	2.4176818	-2.1494652	0.5655414	1.6368971	-0.2005470	0.1285728	-0.5271435	-0.0089936	-0.2991991	-0.0747992	0.8227981	
1	0.0010065	-0.0013769	0.0048739	-1.5802329	-1.4987687	-0.0079814	-1.8897122	-0.1319088	0.3146365	0.0919723	-1.8103992	1.2425236	-0.2366377	-0.8259477	2.4168378	-2.1451796	0.5691666	1.6381166	-0.2013705	0.1285699	-0.5271417	-0.0089999	-0.2992572	-0.0750451	0.8227742	
2	0.0020063	-0.0021008	0.0070770	-1.5821264	-1.4981797	-0.0065811	-1.8898445	-0.1317954	0.3141643	0.0919789	-1.8112271	1.2424344	-0.2367388	-0.8279660	2.4156050	-2.1388405	0.5745317	1.6400125	-0.2024176	0.1285653	-0.5271382	-0.0089996	-0.2993076	-0.0752886	0.8227473	
3	0.0030062	-0.0028944	0.0094305	-1.5841875	-1.4975947	-0.0050262	-1.8900258	-0.1316716	0.3136545	0.0919748	-1.8120687	1.2423068	-0.2367648	-0.8301957	2.4142249	-2.1318990	0.5803796	1.6421102	-0.2035362	0.1285575	-0.5271324	-0.0089990	-0.2993507	-0.0755302	0.8227175	
4	0.0040062	-0.0037140	0.0118262	-1.5862933	-1.4970081	-0.0034132	-1.8902230	-0.1315446	0.3131329	0.0919674	-1.8129140	1.2421679	-0.2367611	-0.8324880	2.4127903	-2.1247842	0.5863545	1.6442652	-0.2046780	0.1285468	-0.5271242	-0.0089982	-0.2993865	-0.0757700	0.8226847	
5	0.0050062	-0.0045439	0.0142331	-1.5884073	-1.4964172	-0.0017780	-1.8904260	-0.1314166	0.3126075	0.0919588	-1.8137602	1.2420255	-0.2367459	-0.8347969	2.4113346	-2.1176261	0.5923520	1.6464326	-0.2058277	0.1285329	-0.5271137	-0.0089972	-0.2994148	-0.0760079	0.8226488	
6	0.0060062	-0.0053789	0.0166420	-1.5905186	-1.4958209	-0.0001337	-1.8906316	-0.1312882	0.3120809	0.0919500	-1.8146061	1.2418819	-0.2367262	-0.8371085	2.4098701	-2.1104628	0.5983437	1.6485993	-0.2069801	0.1285159	-0.5271010	-0.0089959	-0.2994360	-0.0762438	0.8226103	
7	0.0070062	-0.0062172	0.0190506	-1.5926242	-1.4952188	0.0015152	-1.8908387	-0.1311597	0.3115540	0.0919411	-1.8154518	1.2417378	-0.2367048	-0.8394183	2.4084008	-2.1033059	0.6043213	1.6507611	-0.2081337	0.1284960	-0.5270861	-0.0089941	-0.2994502	-0.0764777	0.8225691	
8	0.0080062	-0.0070581	0.0214579	-1.5947230	-1.4946108	0.0031671	-1.8910472	-0.1310312	0.3110270	0.0919321	-1.8162971	1.2415935	-0.2366824	-0.8417236	2.4069269	-2.0961633	0.6102754	1.6529140	-0.2092882	0.1284728	-0.5270685	-0.0089926	-0.2994560	-0.0767100	0.8225241	
9	0.0090060	-0.0079014	0.0238639	-1.5968148	-1.4939970	0.0048214	-1.8912569	-0.1309028	0.3104999	0.0919231	-1.8171417	1.2414488	-0.2366593	-0.8440249	2.4054498	-2.0890328	0.6162103	1.6550596	-0.2104431	0.1284466	-0.5270486	-0.0089909	-0.2994545	-0.0769403	0.8224761	
10	0.0100063	-0.0087470	0.0262684	-1.5988995	-1.4933772	0.0064780	-1.8914677	-0.1307743	0.3099729	0.0919141	-1.8179860	1.2413040	-0.2366357	-0.8463225	2.4039698	-2.0819135	0.6221276	1.6571983	-0.2115985	0.1284173	-0.5270266	-0.0089887	-0.2994460	-0.0771685	0.8224256	
11	0.0110062	-0.0095950	0.0286714	-1.6009771	-1.4927515	0.0081368	-1.8916798	-0.1306459	0.3094459	0.0919051	-1.8188296	1.2411589	-0.2366115	-0.8486155	2.4024864	-2.0748078	0.6280239	1.6593288	-0.2127542	0.1283849	-0.5270021	-0.0089864	-0.2994299	-0.0773948	0.8223718	
12	0.0120052	-0.0104453	0.0310730	-1.6030476	-1.4921199	0.0097977	-1.8918930	-0.1305175	0.3089189	0.0918961	-1.8196727	1.2410136	-0.2365868	-0.8509040	2.4009996	-2.0677151	0.6338998	1.6614513	-0.2139102	0.1283494	-0.5269753	-0.0089840	-0.2994063	-0.0776191	0.8223151	
13	0.0130055	-0.0112978	0.0334731	-1.6051111	-1.4914825	0.0114607	-1.8921073	-0.1303892	0.3083919	0.0918871	-1.8205151	1.2408681	-0.2365616	-0.8531883	2.3995095	-2.0606344	0.6397567	1.6635664	-0.2150665	0.1283108	-0.5269461	-0.0089813	-0.2993754	-0.0778414	0.8222554	
14	0.0140055	-0.0121527	0.0358717	-1.6071675	-1.4908393	0.0131258	-1.8923227	-0.1302609	0.3078649	0.0918782	-1.8213570	1.2407225	-0.2365358	-0.8554682	2.3980160	-2.0535666	0.6455934	1.6656734	-0.2162230	0.1282692	-0.5269147	-0.0089783	-0.2993371	-0.0780616	0.8221928	
15	0.0150056	-0.0130098	0.0382688	-1.6092169	-1.4901902	0.0147931	-1.8925394	-0.1301326	0.3073380	0.0918692	-1.8221982	1.2405766	-0.2365094	-0.8577434	2.3965189	-2.0465117	0.6514097	1.6677724	-0.2173797	0.1282244	-0.5268808	-0.0089752	-0.2992913	-0.0782798	0.8221272	
